english,german,freq
friend,Freundin,243502
mind,Geist,243163
hell,Hölle,240825
wasn,WASN,239820
mom,Mama,237398
boy,Junge,237032
best,Beste,236388
yourself,du selber,235719
morning,Morgen,234014
together,zusammen,233103
saw,gesehen,231266
trying,versuche,230473
job,Arbeit,230173
without,ohne,226498
real,Real,226082
baby,Baby,225931
family,Familie,225126
room,Zimmer,224802
move,Bewegung,223103
already,schon,223003
wouldn,würde nicht,222761
live,Live,221967
seen,gesehen,219818
miss,Fräulein,215889
most,die meisten,215572
shit,Scheisse,211315
actually,eigentlich,209504
once,Einmal,209308
heard,habe gehört,208596
brother,Bruder,207590
head,Kopf,206988
ready,bereit,206516
happy,glücklich,205956
huh,Huh,205097
hold,halt,204882
such,eine solche,204165
called,namens,204074
both,beide,203615
used,Gebraucht,203320
knew,wusste,203092
men,Männer,202903
haven,Oase,202280
idea,Idee,201867
wife,Ehefrau,201046
yet,noch,200667
took,nahm,199949
fuck,Scheiße,199334
also,Auch,198668
pretty,ziemlich,198155
days,Tage,197960
since,seit,197795
while,während,197116
whole,ganz,197015
tomorrow,Morgen,196855
start,Anfang,196605
use,benutzen,196453
door,Tür,196315
bit,bisschen,195828
matter,Angelegenheit,193243
bring,bringen,193182
meet,Treffen,192793
tonight,heute Abend,191971
guess,vermuten,191832
run,Lauf,191100
alone,allein,190824
everyone,alle,188384
school,Schule,187749
gone,Weg,187208
hard,schwer,186967
myself,ich selbst,186764
wanna,will,186178
play,abspielen,184286
problem,Problem,182547
end,Ende,182462
saying,Sprichwort,182062
open,offen,180368
couldn,könnte nicht,180232
friends,Freunde,179615
fucking,Ficken,179076
ago,vor,178965
killed,getötet,178699
looks,sieht aus,178541
few,wenig,178499
gotta,muss,178206
ah,Ah,177708
anyone,jeder,177385
phone,Telefon,176725
hope,hoffen,175762
lost,verloren,175315
excuse,Ausrede,174536
face,Gesicht,174197
um,Äh,172992
until,noch bis,171928
die,sterben,171043
turn,Dreh dich,170913
police,Polizei,169874
heart,Herz,169205
wants,will,168781
says,sagt,168668
TRUE,WAHR,167457
worry,Sorge,166159
soon,bald,165829
business,Geschäft,165777
case,Fall,164274
later,später,164215
each,jeder,164098
watch,Uhr,163334
year,Jahr,161555
hand,Hand,161068
having,annehmen,158349
beautiful,schön,158066
doctor,Arzt,157732
eat,Essen,157103
sit,sitzen,156455
probably,wahrscheinlich,153277
thinking,Denken,152259
late,spät,151455
forget,vergessen,150563
young,Jung,150389
second,zweite,149931
kids,Kinder,149402
kid,Kind,149070
pay,Zahlen,148904
crazy,verrückt,148841
water,Wasser,148734
death,Tod,148273
working,Arbeiten,147548
under,unter,146610
stuff,Sachen,146452
minute,Minute,146345
part,Teil,146235
person,Person,146077
everybody,alle,145732
damn,verdammt,145579
drink,Getränk,145213
gave,gab,145057
change,Veränderung,144892
exactly,exakt,144044
happen,passieren,143940
shut,geschlossen,142579
five,fünf,142320
knows,kennt.,142057
eyes,Augen,141523
hit,Schlag,140417
far,weit,140214
aren,Aren,139236
easy,leicht,138793
whatever,was auch immer,138249
its,es ist,137968
hands,Hände,137651
taking,Nehmen,137150
times,mal,137085
check,überprüfen,136543
minutes,Protokoll,136080
music,Musik,135996
inside,Innerhalb,134522
sleep,Schlaf,134507
means,bedeutet,134221
somebody,jemanden,134216
mine,Bergwerk,133717
deal,handeln,133692
different,unterschiedlich,133204
asked,fragte,133062
makes,macht,133055
point,Punkt,132432
afraid,besorgt,132423
body,Karosserie,130763
anyway,ohnehin,130216
dear,Liebling,130092
four,vier.,129720
shall,soll,129524
ain,Ain,129511
chance,Chance,129266
close,nah dran,129070
making,Herstellung,128319
waiting,warten,128123
party,Party,128048
daughter,Tochter,127888
comes,Kommt,127771
word,Wort,127723
against,gegen,127501
fun,Spaß,126809
number,Nummer,126759
married,verheiratet,126555
hurt,verletzen,126494
story,Geschichte,126405
set,einstellen,125954
wish,Wunsch,125807
least,am wenigsten,125613
quite,ziemlich,125453
important,wichtig,125420
girls,Mädchen,125375
husband,Ehemann,124638
fire,Feuer,124092
nobody,niemand,124081
fight,Streit,123936
children,Kinder,123312
rest,Rest,123303
moment,Moment,123055
week,Woche,122947
read,lesen,122095
stand,Stand,121869
game,Spiel,121499
cut,schneiden,121215
sister,Schwester,120634
speak,sprechen,120116
child,Kind,119840
side,Seite,119739
women,Frauen,118187
supposed,angeblich,117762
started,gestartet,117383
between,zwischen,117214
hours,Std,116778
goes,giftig,116477
blood,Blut,116384
though,obwohl,116101
truth,Wahrheit,115691
lady,Dame,114711
anymore,nicht mehr,114428
behind,hinter,114330
almost,fast,114152
shot,Schuss,113597
gets,Get,112449
war,Krieg,112177
break,brechen,111719
walk,gehen,110976
yours,deine,110936
able,fähig,110547
reason,Grund,110475
trouble,Problem,110339
met,getroffen,110143
city,Stadt,109884
town,Stadt,109619
trust,Vertrauen,109349
mr,Herr,109232
brought,gebracht,108824
died,ist gestorben,108729
question,Frage,108539
buy,Kaufen,108052
office,Sekretariat,107711
half,halb,107665
bye,Tschüss,107546
high,hoch,107472
free,kostenlos,107167
s,S,107111
welcome,willkommen,107033
couple,Paar,106808
either,entweder,105767
hurry,Eile,105446
telling,erzirk,105128
stupid,dumm,105060
honey,Honig,104949
power,Energie,104938
wow,Beeindruckend,104619
tried,versucht,104479
bed,Bett,104451
front,Vorderseite,104372
cool,cool,104224
answer,Antworten,104085
playing,spielend,104082
seems,scheint,103976
boys,Jungen,103915
send,senden,103037
gun,Pistole,102393
line,Linie,102053
team,Team,101875
news,Nachrichten,101557
months,Monate,101166
captain,Kapitän,100750
save,speichern,100595
full,voll,100468
hate,hassen,100170
sometimes,manchmal,100158
become,werden,100145
whoa,whoa.,100036
lord,Herr,99419
along,eine lange,99212
dog,Hund,98545
outside,außen,98145
food,Lebensmittel,97884
light,hell,97870
order,bestellen,97797
hot,heiß,97339
funny,komisch,97197
clear,klar,96753
needs,braucht,96695
six,sechs,96585
country,Land,96402
alive,lebendig,96183
pick,wählen,95296
em,em,95146
fact,Tatsache,94924
ahead,voaus,94473
black,Schwarz,94187
boss,Chef,93897
living,Leben,93864
lose,verlieren,93066
feeling,Gefühl,92992
leaving,Verlassen,92295
cause,weil,91820
dinner,Abendessen,91754
shouldn,Soll,90664
promise,Versprechen,90622
king,König,90167
running,Laufen,89284
plan,planen,89107
taken,vergriffen,88924
sort,Sortieren,88633
book,Buchen,88364
ma,MA.,88307
sent,gesendet,88301
anybody,irgendjemand,87891
hour,Stunde,87671
white,Weiß,87357
small,klein,87194
alright,In Ordnung,86894
sick,krank,86304
parents,Eltern,86017
uncle,Onkel,86011
lives,Leben,85964
safe,sicher,85940
perfect,perfekt,85759
poor,Arm,85630
ass,Arsch,85445
shoot,schießen,84975
scared,erschrocken,84933
special,Besondere,84912
serious,Ernst,84813
himself,sich selbst,84655
red,rot,84035
perhaps,womöglich,83955
touch,berühren,83756
earth,Erde,83210
john,John,83191
sounds,Geräusche,82399
company,Begleitung,82284
past,Vergangenheit,81831
cannot,kann nicht,81647
possible,möglich,81607
bitch,Hündin,81395
ha,Ha,80811
sound,Klang,80575
sighs,Seufzer,80364
hair,Haar,80176
human,Mensch,79978
drive,Antrieb,79977
luck,Glück,79651
asking,fragend,79599
top,oben,79575
win,Sieg,79112
glad,froh,78945
daddy,Vati,78864
control,Kontrolle,78803
o,Ö,78589
cold,kalt,78266
ten,zehn,78192
air,Luft,78038
happens,das passiert,77796
master,Meister,77786
jack,Jack,77644
till,bis,77530
dance,tanzen,77447
sex,Sex,77309
others,Andere,76709
hospital,Krankenhaus,76485
street,Straße,76444
hang,aufhängen,76363
fast,schnell,76330
words,Wörter,76140
follow,Folgen,75758
seem,erscheinen,75744
murder,Mord,75724
finally,endlich,75533
lie,Lüge,75492
dream,Traum,75468
catch,Fang,75412
write,schreiben,74905
evening,Abend,74866
meeting,Termin,74477
sweet,Süss,74044
hmm,Hmm,73706
sense,Sinn,73637
lucky,Glücklich,73156
known,bekannt,73000
laughs,lacht,72946
jesus,Jesus,72410
bet,Wette,72343
voice,Stimme,72286
sign,Unterschrift,72196
million,Million,72111
quiet,ruhig,71963
felt,gefühlt,71918
rather,eher,71879
careful,Vorsichtig,71036
somewhere,irgendwo,71004
longer,länger,70889
beat,schlagen,70858
return,Rückkehr,70845
laughing,Lachen,70648
coffee,Kaffee,70440
date,Datum,69923
pull,ziehen,69806
secret,Geheimnis,69712
calling,Berufung,69647
less,weniger,69572
t,T,69466
looked,sah,69402
worked,hat funktioniert,69312
weeks,Wochen,68864
fault,Fehler,68760
gentlemen,Herren,68638
fall,fallen,68611
given,gegeben,68133
seeing,Sehen,67977
song,Lied,67920
weren,werben,67902
straight,gerade,67837
calm,Ruhe,67229
changed,geändert,67059
mad,verrückt,67005
loved,geliebt,66987
takes,dauert,66925
road,Straße,66885
learn,lernen,66803
drop,fallen,66732
wonderful,wunderbar,66685
future,Zukunft,66566
ladies,Damen,66291
explain,erklären,66231
chuckles,Kichern,66058
clean,sauber,65803
throw,Wurf,65622
early,früh,65439
yesterday,gestern,65305
step,Schritt,65283
turned,gedreht,65156
feet,Fuß,65155
piece,Stück,64504
picture,Bild,64311
land,Land,63888
quick,schnell,63849
wonder,Wunder,63824
worth,Wert,63758
darling,Schatz,63737
questions,Fragen,63488
absolutely,absolut,63312
president,Präsident,63295
eye,Auge,63149
giving,zu geben,62971
ooh,Oh,62926
none,keiner,62737
dude,Geck,62589
moving,ziehen um,62517
state,Zustand,62264
ones,Einsen,61570
speaking,Apropos,61501
figure,Zahl,61495
goodbye,Auf Wiedersehen,61278
sam,Sam,61267
strange,komisch,61248
strong,stark,61216
act,Gesetz,61137
wedding,Hochzeit,61060
law,Gesetz,61017
kiss,Kuss,61009
works,arbeitet.,60984
report,Prüfbericht,60920
tired,müde,60654
pain,Schmerzen,60448
marry,heiraten,60443
pass,bestehen,60412
wake,aufwachen,59999
kidding,scherzhaft,59935
general,Allgemeines,59901
missing,fehlen,59741
ship,Schiff,59648
needed,erforderlich,59601
choice,Auswahl,59407
class,Klasse,59200
weird,seltsam,59136
worried,besorgt,59051
